iter	RMSE
0	15485169.12
1	14221642.41
2	13065331.47
3	12009109.33
4	10990378.47
5	10109399.68
6	9266872.336
7	8513854.795
8	7833587.004
9	7257238.259
10	6689849.002
11	6204398.772
12	5755055.944
13	5323911.823
14	4949351.676
15	4592399.539
16	4316223.847
17	4029098.109
18	3752320.861
19	3504554.196
20	3289311.722
21	3079612.037
22	2892416.712
23	2726455.362
24	2581645.285
25	2442031.991
26	2315531.621
27	2194278.889
28	2086783.63
29	1987625.458
30	1898566.764
31	1888006.631
32	1805869.119
33	1732658.416
34	1671155.964
35	1662104.128
36	1596045.281
37	1587437.812
38	1556426.749
39	1508500.843
40	1500474.456
41	1491815.626
42	1484715.603
43	1432292.765
44	1389263.983
45	1345872.884
46	1316470.828
47	1311754.629
48	1305862.274
49	1299910.573
50	1262263.001
51	1224294.704
52	1219845.336
53	1215707.003
54	1211193.654
55	1206653.546
56	1177260.832
57	1146104.398
58	1142307.089
59	1128373.259
60	1105313.302
61	1085185.802
62	1082289.224
63	1078965.503
64	1075515.849
65	1072476.423
66	1068732.854
67	1065572.802
68	1044551.386
69	1042152.404
70	1026117.997
71	1006725.709
72	998817.6753
73	982448.3514
74	980228.4161
75	977717.005
76	961880.8836
77	959426.55
78	945937.8749
79	943667.9796
80	941622.2728
81	939681.6681
82	929263.7065
83	918108.8149
84	909174.7457
85	907217.8254
86	905412.1426
87	903534.8865
88	901739.4379
89	888811.8819
90	887183.3247
91	885749.5423
92	884177.9679
93	882652.0366
94	873355.4929
95	863583.6778
96	862233.4949
97	852458.9767
98	851174.3434
99	849874.649
