iter	Passed	Remaining
0	48	4802
1	86	4258
2	125	4056
3	164	3947
4	201	3820
5	240	3761
6	278	3696
7	317	3645
8	356	3605
9	402	3622
10	437	3537
11	466	3419
12	494	3307
13	523	3216
14	552	3133
15	583	3061
16	612	2991
17	643	2931
18	674	2874
19	704	2819
20	734	2763
21	765	2712
22	795	2662
23	826	2617
24	857	2571
25	886	2522
26	916	2477
27	946	2433
28	976	2390
29	1005	2346
30	1034	2303
31	1065	2264
32	1096	2225
33	1124	2183
34	1155	2145
35	1184	2105
36	1214	2068
37	1243	2029
38	1272	1990
39	1301	1952
40	1331	1915
41	1361	1880
42	1391	1844
43	1420	1807
44	1451	1773
45	1481	1738
46	1510	1703
47	1539	1667
48	1570	1634
49	1599	1599
50	1630	1566
51	1660	1532
52	1689	1498
53	1719	1464
54	1749	1431
55	1780	1398
56	1809	1365
57	1840	1332
58	1870	1299
59	1893	1262
60	1924	1230
61	1954	1198
62	1985	1166
63	2016	1134
64	2046	1101
65	2076	1069
66	2105	1037
67	2134	1004
68	2164	972
69	2193	940
70	2222	907
71	2251	875
72	2281	844
73	2312	812
74	2341	780
75	2371	748
76	2400	717
77	2430	685
78	2460	653
79	2488	622
80	2518	590
81	2548	559
82	2577	527
83	2606	496
84	2635	465
85	2665	433
86	2694	402
87	2723	371
88	2753	340
89	2783	309
90	2815	278
91	2844	247
92	2872	216
93	2903	185
94	2933	154
95	2965	123
96	2994	92
97	3024	61
98	3053	30
99	3083	0
